symbol,type,strike,cycle,from,to,multiple,start,end,bars,dte_at_low,stock_1h_before,moneyness_at_low
ABB,CALL,6150.0,202604,54.95,257.0,4.6769790718835305,2026-03-27 12:45:00,2026-04-06 11:45:00,12,34,0.4887585532746819,0.29268292682926855
POLICYBZR,CALL,1780.0,202605,3.0,14.0,4.666666666666667,2026-05-26 10:15:00,2026-05-26 13:00:00,1,2,-0.7764495587085252,-0.2078651685393229
ICICIBANK,CALL,1430.0,202506,1.85,8.6,4.648648648648648,2025-06-26 10:30:00,2025-06-26 12:45:00,6,0,-0.44677137870855477,-0.27272727272728003
CAMS,CALL,4200.0,202506,5.6,25.95,4.633928571428571,2025-06-26 11:15:00,2025-06-26 14:00:00,8,0,-0.41686517389233346,-0.46190476190475227
UNIONBANK,CALL,175.0,202601,0.26,1.2,4.615384615384615,2026-01-27 11:45:00,2026-01-27 15:15:00,1,2,0.6331664076440591,-0.0971428571428512
TECHM,CALL,1440.0,202510,2.4,11.0,4.583333333333334,2025-10-28 14:30:00,2025-10-28 15:00:00,2,2,0.0694589150517455,0.04861111111111871
HAL,CALL,3600.0,202604,37.85,173.25,4.577278731836195,2026-03-27 13:15:00,2026-04-02 11:30:00,19,34,-0.13800717637316717,0.49999999999998934
M&M,CALL,3050.0,202604,29.9,136.55,4.566889632107024,2026-03-27 13:15:00,2026-04-01 09:15:00,1,34,0.48293307927329554,0.28196721311475326
GLENMARK,CALL,2020.0,202601,14.35,65.0,4.529616724738676,2025-12-26 09:15:00,2025-12-31 10:00:00,1,34,0.3419735342221175,0.22772277227722793
LT,CALL,3640.0,202505,2.65,12.0,4.528301886792453,2025-05-29 13:30:00,2025-05-29 14:15:00,3,0,0.4112613855920433,-0.04395604395603936
LAURUSLABS,CALL,1080.0,202601,8.5,38.3,4.5058823529411764,2025-12-26 14:30:00,2025-12-31 10:00:00,1,34,0.055442616891498986,0.259259259259248
RELIANCE,CALL,1300.0,202504,0.3,1.35,4.500000000000001,2025-04-24 13:30:00,2025-04-24 14:15:00,3,0,-0.1845869866174521,-0.16923076923077707
LUPIN,CALL,2100.0,202601,12.0,54.0,4.5,2025-12-26 12:30:00,2025-12-31 13:00:00,17,34,-0.12834529638255932,0.04761904761905189
SHRIRAMFIN,CALL,720.0,202510,2.0,9.0,4.5,2025-10-28 14:00:00,2025-10-28 15:15:00,3,2,-0.43508287292817194,0.1180555555555518
UNIONBANK,CALL,152.5,202511,0.1,0.45,4.5,2025-11-25 14:45:00,2025-11-25 15:00:00,1,2,0.2629157355067635,0.026229508196706774
